City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
391,zaykovo,57.5613,62.7568,8.44,93,6,6.2,RU
392,rocha,-34.4833,-54.3333,73.98,60,63,6.58,UY
393,evensk,61.95,159.2333,10.49,94,100,8.86,RU
394,el tarra,8.5756,-73.0949,74.79,97,100,1.3,CO
395,pljevlja,43.3333,19.3333,54.09,80,100,9.48,ME
396,vestmanna,62.1564,-7.1664,45.52,81,75,27.63,FO
397,kumo,10.0447,11.2122,90.52,19,5,9.08,NG
398,baikunthpur,23.25,82.55,65.55,44,8,4.52,IN
399,srandakan,-7.9386,110.2506,78.3,87,100,4.16,ID
400,alakurtti,66.9672,30.3491,29.39,95,100,0.83,RU
401,fethiye,36.6217,29.1164,73.27,47,100,14.65,TR
402,lagoa,39.05,-27.9833,61.03,67,44,10.85,PT
403,hay river,60.8156,-115.7999,22.98,74,75,13.8,CA
404,clovis,36.8252,-119.7029,52.84,81,40,0.0,US
405,santiago,-33.4569,-70.6483,72.25,68,0,6.91,CL
406,birjand,32.8663,59.2211,55.87,71,75,4.61,IR
407,aylmer,42.7668,-80.983,30.78,85,58,14.88,CA
408,douglas,41.3,-96.167,13.59,74,0,13.8,US
409,bocas del toro,9.3333,-82.25,77.79,80,100,6.67,PA
410,jutai,-5.1833,-68.9,73.71,98,100,2.01,BR
411,riposto,37.7306,15.2009,79.41,65,3,2.15,IT
412,iracoubo,5.4802,-53.2011,82.65,72,64,9.1,GF
413,maldonado,-34.6667,-54.9167,68.23,54,68,7.72,UY
414,high level,58.5169,-117.136,3.31,92,0,2.3,CA
415,avera,33.194,-82.5271,28.38,69,0,5.01,US
416,tanda,26.55,82.65,69.89,36,0,4.5,IN
417,dingle,10.9995,122.6711,74.95,92,100,8.97,PH
418,aksu,41.1231,80.2644,41.92,30,33,2.75,CN
419,tikrit,34.6071,43.6782,71.71,36,0,8.84,IQ
420,ornskoldsvik,63.2909,18.7153,22.15,93,100,5.75,SE
421,west wendover,40.7391,-114.0733,22.21,80,0,3.44,US
